County,Store Longitude,Store Latitude
POLK,-93.61379,41.57608
HARDIN,-93.10608,42.3606
CLINTON,-90.25735,41.78853
DALLAS,-94.10303,41.83848
SCOTT,-90.55073,41.55678
LINN,-91.71601,41.97501
MUSCATINE,-91.26158,41.56997
FLOYD,-92.73701,43.12253
STORY,-93.61905,42.02291
CARROLL,-94.8615,42.06419
DUBUQUE,-90.66825,42.51147
GRUNDY,-92.78736,42.36159
SAC,-95.05154,42.30774
WORTH,-93.21834,43.44374
GREENE,-94.55159,42.02249
IOWA,-91.87468,41.80125
JASPER,-93.03601,41.69919
CALHOUN,-94.72511,42.26741
BENTON,-92.27776,41.89706
FRANKLIN,-93.20291,42.8932
JACKSON,-90.66596,42.04989
CEDAR,-91.12841,41.77177
JOHNSON,-91.592,41.68238
MITCHELL,-92.81154,43.2851
HOWARD,-92.55645,43.36381
CHEROKEE,-95.55262,42.76552
BUENA VISTA,-95.20241,42.64746
WEBSTER,-93.04541,41.69962
IDA,-95.54476,42.48869
CHICKASAW,-92.54574,42.95356
MARSHALL,-92.90803,42.05011
POWESHIEK,-92.44518,41.72856
BUTLER,-92.7852,42.57036
O'BRIEN,-95.4989,42.96803
LEE,-91.40014,40.4728
PLYMOUTH,-95.97703,42.80888
CERRO GORDO,-93.19198,42.98552
AUDUBON,-94.93637,41.7232
LYON,-96.43534,43.45382
BLACK HAWK,-92.26465,42.40909
WOODBURY,-96.42021,42.51054
HARRISON,-95.60229,41.85442
SHELBY,-95.33994,41.65119
BREMER,-92.09934,42.84746
CLARKE,-93.76567,41.03257
CRAWFORD,-95.3721,42.02421
BUCHANAN,-91.90183,42.46863
WARREN,-93.55836,41.36854
MONONA,-96.09589,42.02584
DELAWARE,-91.44505,42.48407
FAYETTE,-91.9105,42.67686
MADISON,-94.01398,41.33639
TAMA,-92.46547,42.19641
HAMILTON,-93.64,42.30264
ADAMS,-94.73183,40.99183
WAPELLO,-92.41044,40.99903
WINNESHIEK,-91.93245,43.14339
SIOUX,-96.1753,43.05617
OSCEOLA,-95.75205,43.39794
DICKINSON,-95.12596,43.37085
POTTAWATTAMIE,-95.90509,41.25369
HANCOCK,-93.60278,43.10582
EMMET,-94.82983,43.40204
JEFFERSON,-91.97969,41.00646
WINNEBAGO,-93.63301,43.26304
WASHINGTON,-91.70457,41.29657
HENRY,-91.52872,40.9623
KOSSUTH,-94.23605,43.08152
KEOKUK,-92.20517,41.33328
WRIGHT,-93.90439,42.65402
PALO ALTO,-94.67733,43.10921
CLAY,-95.14509,43.14635
MARION,-92.8993,41.39695
MAHASKA,-92.64509,41.28746
VAN BUREN,-91.80163,40.69903
WAYNE,-93.36933,40.70677
CASS,-95.13687,41.23467
GUTHRIE,-94.50528,41.67725
BOONE,-93.87572,42.06382
JONES,-91.28133,42.10826
ADAIR,-94.64347,41.49592
DES MOINES,-91.11612,40.78899
MONTGOMERY,-95.23278,41.01865
MILLS,-95.74455,41.04203
CLAYTON,-91.1005,42.78055
TAYLOR,-94.56044,40.88264
UNION,-94.37278,41.04773
MONROE,-92.80712,41.02876
DECATUR,-93.896684,40.623454
LUCAS,-93.29331,41.00525
POCAHONTAS,-94.66769,42.7326
APPANOOSE,-92.86792,40.73085
DAVIS,-92.41284,40.75269
ALLAMAKEE,-91.48701,43.25662
PAGE,-95.3851,40.76162
RINGGOLD,-94.23881,40.71574
HUMBOLDT,-94.23376,42.73186
LOUISA,-91.3592,41.28012
FREMONT,-95.64723,40.74671
