Store Number,Store Name,Customer Segment,Address,County,Store Longitude,Store Latitude
5245,BEST TRIP,Potential Loyalist,"1516, SE  1ST ST",POLK,-93.61379,41.57608
6303,WORLD LIQUOR & TOBACCO + VAPORS / DES MOINES,Potential Loyalist,3200 SOUTHEAST 14TH STREET,POLK,-93.59738,41.55503
2190,CENTRAL CITY 2 #1460,Champions,1460 2ND AVE,POLK,-93.61979,41.60558
2699,HY-VEE C-STORE #2 - ANKENY,Need Attention,1710 SW ORALABOR ROAD,POLK,-93.62362,41.70324
2636,HY-VEE WINE AND SPIRITS / HUBBELL,Potential Loyalist,2310 HUBBELL AVE,POLK,-93.57411,41.60444
6018,CASEY'S GENERAL STORE #2532 / ELDORA,Big Spenders,1807 EDGINGTON AVE,HARDIN,-93.10608,42.3606
2666,HY-VEE FOOD STORE #2 / STATE ANKENY,Champions,2510 SW STATE ST,POLK,-93.62173,41.70471
4829,CENTRAL CITY 2 #1501,Champions,1501 MICHIGAN AVE,POLK,-93.61378,41.60575
6006,CASEY'S GENERAL STORE #2635 / JOHNSTON,Potential Loyalist,10010 NW 62ND AVE,POLK,-93.75913,41.67288
6245,NEIGHBORHOOD LIQUOR HOUSE / ANKENY,Champions,"833 EAST 1ST STREET, SUITE 102",POLK,-93.58545,41.73189
2633,HY-VEE FOOD STORE #3 (1142) / DES MOINES,Champions,3221 SE 14TH ST,POLK,-93.5968,41.55392
2696,HY-VEE C-STORE / SE ARMY POST,Potential Loyalist,1113 SE ARMY POST RD,POLK,-93.62905,41.5265
4132,CAMANCHE FOOD PRIDE,Big Spenders,908 7TH AVE,CLINTON,-90.25735,41.78853
2648,HY-VEE #4 / WDM,Champions,555 S 51ST ST,POLK,-93.77293,41.56036
4320,FAREWAY STORES #470 / PERRY,Champions,1315 WILLIS AVE,DALLAS,-94.10303,41.83848
2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,Champions,1823 E KIMBERLY RD,SCOTT,-90.55073,41.55678
